Ano;Trimestre;Categoria;Tipo;CNPJ IF;Instituição financeira;Índice;Quantidade de reclamações reguladas procedentes;Quantidade de reclamações reguladas - outras;Quantidade de reclamações não reguladas;Quantidade total de reclamações;Quantidade total de clientes – CCS e SCR;Quantidade de clientes – CCS;Quantidade de clientes – SCR;Quantidade de clientes – FGC;
2019;3º;Menos de quatro milhões de clientes;Conglomerado; ;ABC-BRASIL (conglomerado); ;3;8;4;15;19524;18164;3092;2759;
2019;3º;Menos de quatro milhões de clientes;Conglomerado; ;AGIBANK (conglomerado);52,89;62;175;67;304;1172113;570480;968598;34664;
2019;3º;Menos de quatro milhões de clientes;Banco/financeira;36321990;AGORACRED S/A SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;0;2;1;3;311053;119;310934; ;
2019;3º;Menos de quatro milhões de clientes;Conglomerado; ;ALFA (conglomerado); ;8;29;24;61;416651;268164;149764;0;
2019;3º;Menos de quatro milhões de clientes;Conglomerado; ;ANDBANK (conglomerado); ;0;4;2;6;8714;2896;5831;0;
2019;3º;Menos de quatro milhões de clientes;Banco/financeira;23862762;AVISTA S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO;23,21;31;2;2;35;1335497;844978;689005; ;
2019;3º;Menos de quatro milhões de clientes;Banco/financeira;92874270;BANCO A.J. RENNER S.A.; ;10;14;23;47;186475;71942;135115;3597;
2019;3º;Menos de quatro milhões de clientes;Banco/financeira;00997185;BANCO B3 S.A.; ;0;0;1;1;747;747; ;43;
2019;3º;Menos de quatro milhões de clientes;Banco/financeira;02992446;BANCO CNH INDUSTRIAL CAPITAL S.A.; ;0;0;2;2;26341;1222;25471; ;
2019;3º;Mais de quatro milhões de clientes;Banco/financeira;08357240;BANCO CSF S.A.;9,44;64;126;93;283;6776626; ;6776626; ;
2019;3º;Menos de quatro milhões de clientes;Banco/financeira;04902979;BANCO DA AMAZONIA S.A.; ;2;1;5;8;507369;442402;157185;278441;
2019;3º;Menos de quatro milhões de clientes;Banco/financeira;05040481;BANCO DE LAGE LANDEN BRASIL S.A.; ;0;1;0;1;36193;2;36191; ;
2019;3º;Menos de quatro milhões de clientes;Banco/financeira;27098060;BANCO DIGIO S.A.;55,95;67;85;87;239;1197312;3;1197310; ;
2019;3º;Menos de quatro milhões de clientes;Banco/financeira;13009717;BANCO DO ESTADO DE SERGIPE S.A.; ;12;21;7;40;1075355;871883;578998;656200;
2019;3º;Menos de quatro milhões de clientes;Banco/financeira;04913711;BANCO DO ESTADO DO PARÁ S.A.;30,32;21;25;15;61;692497;677339;265223;607646;
2019;3º;Mais de quatro milhões de clientes;Banco/financeira;07237373;BANCO DO NORDESTE DO BRASIL S.A.;0,41;3;25;36;64;7230689;7072852;1150616;5054710;
2019;3º;Menos de quatro milhões de clientes;Banco/financeira;58616418;BANCO FIBRA S.A.; ;2;4;4;10;166505;3955;162981;1130;
2019;3º;Menos de quatro milhões de clientes;Banco/financeira;90731688;BANCO FORD S.A.; ;0;0;3;3;374;138;249; ;
2019;3º;Menos de quatro milhões de clientes;Banco/financeira;04866275;BANCO INBURSA S.A.; ;0;1;0;1;7536;8;7528;5;
2019;3º;Menos de quatro milhões de clientes;Banco/financeira;59118133;BANCO LUSO BRASILEIRO S.A.; ;0;0;1;1;10407;4845;5962;1061;
2019;3º;Menos de quatro milhões de clientes;Banco/financeira;07441209;BANCO MONEO S.A.; ;0;0;1;1;1215;4;1212; ;
2019;3º;Menos de quatro milhões de clientes;Banco/financeira;00517645;BANCO RIBEIRAO PRETO S.A.; ;1;0;0;1;4981;4600;3097;441;
2019;3º;Menos de quatro milhões de clientes;Banco/financeira;00795423;BANCO SEMEAR S.A.; ;0;1;0;1;281212;3276;278052;1107;
2019;3º;Menos de quatro milhões de clientes;Banco/financeira;60518222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; ;0;0;1;1;1157;1111;129;285;
2019;3º;Menos de quatro milhões de clientes;Banco/financeira;07679404;BANCO TOPÁZIO S.A.; ;4;2;3;9;17425;13903;6538;1598;
2019;3º;Menos de quatro milhões de clientes;Banco/financeira;03215790;BANCO TOYOTA DO BRASIL S.A.; ;2;1;13;16;174038;15277;160025; ;
2019;3º;Menos de quatro milhões de clientes;Banco/financeira;17351180;BANCO TRIANGULO S.A.; ;12;17;8;37;2137630;211227;1966241;14066;
2019;3º;Menos de quatro milhões de clientes;Conglomerado; ;BANCOOB (conglomerado);4,43;15;29;17;61;3382458;1680045;2008329;0;
2019;3º;Menos de quatro milhões de clientes;Conglomerado; ;BANESTES (conglomerado);11,77;15;16;9;40;1274425;1229006;460097;862259;
2019;3º;Mais de quatro milhões de clientes;Conglomerado; ;BANRISUL (conglomerado);22,57;110;386;130;626;4873088;3629021;3841391;2510314;
2019;3º;Menos de quatro milhões de clientes;Conglomerado; ;BARIGUI (conglomerado); ;13;15;1;29;28892;913;27979; ;
2019;3º;Mais de quatro milhões de clientes;Conglomerado; ;BB (conglomerado);19,13;1264;2577;2878;6719;66072966;62539665;27944408;40039565;
2019;3º;Menos de quatro milhões de clientes;Banco/financeira;45283173;BBVA BRASIL BANCO DE INVESTIMENTO S.A.; ;0;1;0;1;0;0;0;0;
2019;3º;Mais de quatro milhões de clientes;Conglomerado; ;BMG (conglomerado);82,33;376;603;710;1689;4566863;519284;4486653;23187;
2019;3º;Menos de quatro milhões de clientes;Conglomerado; ;BMW (conglomerado); ;0;0;1;1;22174;21900;18689; ;
2019;3º;Menos de quatro milhões de clientes;Conglomerado; ;BNP PARIBAS (conglomerado);143,77;455;390;310;1155;3164605;15287;3149863;490095;
2019;3º;Menos de quatro milhões de clientes;Conglomerado; ;BOCOM (conglomerado); ;0;0;1;1;7534;6006;1756;1186;
2019;3º;Menos de quatro milhões de clientes;Conglomerado; ;BOFA MERRILL LYNCH (conglomerado); ;1;5;0;6;2019;2013;91;712;
2019;3º;Mais de quatro milhões de clientes;Conglomerado; ;BRADESCO (conglomerado);24,16;2409;3922;4139;10470;99684907;86385435;52934644;33849746;
2019;3º;Menos de quatro milhões de clientes;Conglomerado; ;BRB (conglomerado);49,54;44;70;47;161;888085;773851;406333;471960;
2019;3º;Menos de quatro milhões de clientes;Conglomerado; ;BTG PACTUAL (conglomerado); ;1;3;4;8;295906;183618;112970;11626;
2019;3º;Menos de quatro milhões de clientes;Conglomerado; ;C6 BANK (conglomerado);62,36;17;51;68;136;272600;272551;24921; ;
2019;3º;Mais de quatro milhões de clientes;Conglomerado; ;CAIXA ECONÔMICA FEDERAL (conglomerado);18,97;1775;3326;4497;9598;93525623;90809551;19872781;79022308;
2019;3º;Menos de quatro milhões de clientes;Banco/financeira;09313766;CARUANA S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;2;2;3;7;63399;54271;18788; ;
2019;3º;Menos de quatro milhões de clientes;Conglomerado; ;CCB (conglomerado); ;3;84;57;144;261348;3910;257996;2206;
2019;3º;Menos de quatro milhões de clientes;Conglomerado; ;CITIBANK (conglomerado); ;1;6;4;11;21460;19544;2776;3410;
2019;3º;Menos de quatro milhões de clientes;Conglomerado; ;CREDIT SUISSE (conglomerado); ;0;0;1;1;4173;4170;167;0;
2019;3º;Menos de quatro milhões de clientes;Conglomerado; ;CREFISA (conglomerado); ;14;227;82;323;1708404;551431;1593573;0;
2019;3º;Menos de quatro milhões de clientes;Conglomerado; ;DACASA FINANCEIRA (conglomerado); ;2;3;12;17;1099050; ;1099050; ;
2019;3º;Menos de quatro milhões de clientes;Conglomerado; ;DAYCOVAL (conglomerado);75,87;74;285;163;522;975274;88821;897880;20838;
2019;3º;Menos de quatro milhões de clientes;Banco/financeira;62331228;DEUTSCHE BANK S.A. - BANCO ALEMAO; ;0;1;0;1;3124;3108;163;273;
2019;3º;Menos de quatro milhões de clientes;Banco/financeira;15581638;FACTA FINANCEIRA S.A. - CRÉDITO FINANCIAMENTO E INVESTIMENTO;1.782,23;151;254;13;418;84725;577;84151; ;
2019;3º;Menos de quatro milhões de clientes;Conglomerado; ;FATOR (conglomerado); ;1;0;1;2;16737;16736;19;1500;
2019;3º;Menos de quatro milhões de clientes;Banco/financeira;00411939;FINAMAX S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO; ;0;1;3;4;101560;1936;99724; ;
2019;3º;Menos de quatro milhões de clientes;Conglomerado; ;GAZIN (conglomerado); ;1;0;1;2;37178;276;36925; ;
2019;3º;Menos de quatro milhões de clientes;Conglomerado; ;GMAC (conglomerado); ;6;7;20;33;359861;459;359488; ;
2019;3º;Menos de quatro milhões de clientes;Conglomerado; ;GRUPO BONSUCESSO - BS2 (conglomerado); ;7;24;4;35;127804;120804;7185;1685;
2019;3º;Menos de quatro milhões de clientes;Conglomerado; ;GRUPO ZEMA (conglomerado); ;0;2;1;3;357877;555;357323; ;
2019;3º;Menos de quatro milhões de clientes;Conglomerado; ;HERVAL - HS (conglomerado); ;2;0;1;3;249251;560;248763; ;
2019;3º;Menos de quatro milhões de clientes;Conglomerado; ;HONDA (conglomerado); ;3;2;20;25;475800;36;475773; ;
2019;3º;Menos de quatro milhões de clientes;Conglomerado; ;INDUSTRIAL DO BRASIL (conglomerado); ;5;12;6;23;61309;4096;57765;886;
2019;3º;Menos de quatro milhões de clientes;Conglomerado; ;INTER (conglomerado);176,25;559;509;685;1753;3171520;2995969;807050;358951;
2019;3º;Mais de quatro milhões de clientes;Conglomerado; ;ITAU (conglomerado);14,46;1169;4654;3338;9161;80803452;61015434;50432812;40632385;
2019;3º;Menos de quatro milhões de clientes;Banco/financeira;04230630;JBCRED S.A. SOCIEDADE DE CREDITO, FINANCIAMENTO E INVESTIMENTO; ;2;2;1;5;128358; ;128358; ;
2019;3º;Menos de quatro milhões de clientes;Conglomerado; ;LECCA (conglomerado); ;0;0;8;8;26499;1112;25390; ;
2019;3º;Menos de quatro milhões de clientes;Conglomerado; ;MÁXIMA (conglomerado); ;8;6;3;17;50914;5245;45812;1423;
2019;3º;Menos de quatro milhões de clientes;Conglomerado; ;MERCANTIL DO BRASIL (conglomerado);17,57;51;76;83;210;2902589;2408505;1442021;1612995;
2019;3º;Menos de quatro milhões de clientes;Conglomerado; ;MERCEDES-BENZ (conglomerado); ;2;1;4;7;20314;151;20246; ;
2019;3º;Mais de quatro milhões de clientes;Banco/financeira;09464032;MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;7,08;80;120;111;311;11290164;45;11290147; ;
2019;3º;Menos de quatro milhões de clientes;Conglomerado; ;MODAL (conglomerado);174,54;60;47;46;153;343742;343695;2295;1448;
2019;3º;Menos de quatro milhões de clientes;Banco/financeira;04379829;NEGRESCO S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTOS; ;1;1;0;2;565887;658;565230; ;
