Ano;Trimestre;Categoria;Tipo;CNPJ IF;Instituição financeira;Índice;Quantidade de reclamações reguladas procedentes;Quantidade de reclamações reguladas - outras;Quantidade de reclamações não reguladas;Quantidade total de reclamações;Quantidade total de clientes – CCS e SCR;Quantidade de clientes – CCS;Quantidade de clientes – SCR;
2020;3º;Menos de quatro milhões de clientes;Conglomerado; ;ABC-BRASIL (conglomerado); ;1;3;0;4;24119;22587;3303;
2020;3º;Menos de quatro milhões de clientes;Conglomerado; ;AGIBANK (conglomerado);62,34;63;199;85;347;1010427;707977;645730;
2020;3º;Menos de quatro milhões de clientes;Banco/financeira;36321990;AGORACRED S/A SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;4;1;0;5;382287;132;382156;
2020;3º;Menos de quatro milhões de clientes;Banco/financeira;27214112;AL5 S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;1;0;2;3;10041;3099;8686;
2020;3º;Menos de quatro milhões de clientes;Conglomerado; ;ALFA (conglomerado);87,50;36;72;26;134;411418;268139;144423;
2020;3º;Menos de quatro milhões de clientes;Conglomerado; ;ANDBANK (conglomerado); ;0;8;8;16;4305;4304;51;
2020;3º;Menos de quatro milhões de clientes;Banco/financeira;23862762;AVISTA S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;27;6;8;41;1272781;1271301;260038;
2020;3º;Menos de quatro milhões de clientes;Banco/financeira;03532415;BANCO ABN AMRO S.A.; ;0;0;1;1;140;104;43;
2020;3º;Menos de quatro milhões de clientes;Banco/financeira;54403563;BANCO ARBI S.A.; ;2;0;0;2;13286;4188;9168;
2020;3º;Menos de quatro milhões de clientes;Banco/financeira;02992446;BANCO CNH INDUSTRIAL CAPITAL S.A.; ;1;0;1;2;26883;1240;25942;
2020;3º;Mais de quatro milhões de clientes;Banco/financeira;08357240;BANCO CSF S.A.;17,06;130;104;90;324;7618737; ;7618737;
2020;3º;Menos de quatro milhões de clientes;Banco/financeira;04902979;BANCO DA AMAZONIA S.A.; ;6;4;8;18;536163;449958;196881;
2020;3º;Menos de quatro milhões de clientes;Banco/financeira;33042151;BANCO DE LA NACION ARGENTINA; ;0;0;1;1;224;210;25;
2020;3º;Menos de quatro milhões de clientes;Banco/financeira;05040481;BANCO DE LAGE LANDEN BRASIL S.A.; ;2;0;0;2;35565;2;35563;
2020;3º;Menos de quatro milhões de clientes;Banco/financeira;92874270;BANCO DIGIMAIS S.A.;269,02;67;20;32;119;249049;129092;158567;
2020;3º;Menos de quatro milhões de clientes;Banco/financeira;27098060;BANCO DIGIO S.A.;62,83;85;124;95;304;1352697;263791;1338101;
2020;3º;Menos de quatro milhões de clientes;Banco/financeira;13009717;BANCO DO ESTADO DE SERGIPE S.A.; ;19;21;23;63;1093478;878043;593504;
2020;3º;Menos de quatro milhões de clientes;Banco/financeira;04913711;BANCO DO ESTADO DO PARÁ S.A.; ;11;17;27;55;820900;734365;347559;
2020;3º;Mais de quatro milhões de clientes;Banco/financeira;07237373;BANCO DO NORDESTE DO BRASIL S.A.;1,58;13;16;45;74;8195746;7615138;2967535;
2020;3º;Menos de quatro milhões de clientes;Banco/financeira;58616418;BANCO FIBRA S.A.; ;0;1;4;5;163904;4150;160288;
2020;3º;Menos de quatro milhões de clientes;Banco/financeira;90731688;BANCO FORD S.A.; ;0;0;2;2;408;194;226;
2020;3º;Menos de quatro milhões de clientes;Banco/financeira;04866275;BANCO INBURSA S.A.; ;0;2;6;8;11855;10;11846;
2020;3º;Menos de quatro milhões de clientes;Banco/financeira;59118133;BANCO LUSO BRASILEIRO S.A.; ;0;0;1;1;10245;4703;5903;
2020;3º;Menos de quatro milhões de clientes;Banco/financeira;07441209;BANCO MONEO S.A.; ;0;1;0;1;1258;4;1256;
2020;3º;Menos de quatro milhões de clientes;Banco/financeira;78632767;BANCO OURINVEST S.A.; ;0;0;2;2;39217;36646;2591;
2020;3º;Menos de quatro milhões de clientes;Banco/financeira;61820817;BANCO PAULISTA S.A.; ;0;1;0;1;24424;9146;15539;
2020;3º;Menos de quatro milhões de clientes;Banco/financeira;00517645;BANCO RIBEIRAO PRETO S.A.; ;1;0;0;1;4711;4463;2691;
2020;3º;Menos de quatro milhões de clientes;Banco/financeira;00795423;BANCO SEMEAR S.A.; ;0;3;3;6;274701;2843;271968;
2020;3º;Menos de quatro milhões de clientes;Banco/financeira;07679404;BANCO TOPÁZIO S.A.; ;0;3;3;6;29098;17079;14612;
2020;3º;Menos de quatro milhões de clientes;Banco/financeira;03215790;BANCO TOYOTA DO BRASIL S.A.; ;2;5;5;12;170340;15291;156109;
2020;3º;Menos de quatro milhões de clientes;Banco/financeira;17351180;BANCO TRIANGULO S.A.; ;9;20;20;49;1986156;230353;1800317;
2020;3º;Mais de quatro milhões de clientes;Conglomerado; ;BANCOOB (conglomerado);2,89;12;36;15;63;4139244;2079099;2536358;
