Ano;Trimestre;Categoria;Tipo;CNPJ IF;Instituição financeira;Índice;Quantidade de reclamações reguladas procedentes;Quantidade de reclamações reguladas - outras;Quantidade de reclamações não reguladas;Quantidade total de reclamações;Quantidade total de clientes – CCS e SCR;Quantidade de clientes – CCS;Quantidade de clientes – SCR;Quantidade de clientes – FGC
2017;2º;Menos de quatro milhões de clientes;Conglomerado; ;ABC-BRASIL (conglomerado); ;0;0;2;2;15602;14335;3073;2846
2017;2º;Menos de quatro milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado);130,84;47;56;66;169;359217;39444;338497;3257
2017;2º;Menos de quatro milhões de clientes;Banco/financeira;36321990;AGORACRED S/A SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;1;1;0;2;186769; ;186769; 
2017;2º;Menos de quatro milhões de clientes;Conglomerado; ;ALFA (conglomerado);50,99;24;32;33;89;470652;268755;203795;0
2017;2º;Menos de quatro milhões de clientes;Banco/financeira;23862762;AVISTA S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;0;0;4;4;181479; ;181479; 
2017;2º;Menos de quatro milhões de clientes;Banco/financeira;92874270;BANCO A.J. RENNER S.A.; ;0;1;3;4;109329;6177;103462;2005
2017;2º;Menos de quatro milhões de clientes;Banco/financeira;54403563;BANCO ARBI S.A.; ;1;1;0;2;6084;416;5703;235
2017;2º;Menos de quatro milhões de clientes;Banco/financeira;997185;BANCO BM&FBOVESPA DE SERVIÇOS DE LIQUIDAÇÃO E CUSTÓDIA S.A.; ;0;0;1;1;768;768; ;35
2017;2º;Menos de quatro milhões de clientes;Banco/financeira;71027866;BANCO BONSUCESSO S.A.; ;1;62;14;77;30615;4039;26716;1782
2017;2º;Menos de quatro milhões de clientes;Banco/financeira;27098060;BANCO CBSS S.A.;10,67;17;47;38;102;1592248; ;1592248; 
2017;2º;Menos de quatro milhões de clientes;Banco/financeira;2992446;BANCO CNH INDUSTRIAL CAPITAL S.A.; ;0;0;3;3;26426;1525;25411; 
2017;2º;Menos de quatro milhões de clientes;Banco/financeira;8357240;BANCO CSF S.A.; ;13;46;71;130;3236030; ;3236030; 
2017;2º;Menos de quatro milhões de clientes;Banco/financeira;4902979;BANCO DA AMAZONIA S.A.; ;3;5;7;15;501409;419519;175641;278867
2017;2º;Menos de quatro milhões de clientes;Banco/financeira;5040481;BANCO DE LAGE LANDEN BRASIL S.A.; ;0;0;1;1;43812;1;43811; 
2017;2º;Menos de quatro milhões de clientes;Banco/financeira;60498557;BANCO DE TOKYO-MITSUBISHI UFJ BRASIL S.A.; ;0;0;1;1;2272;2246;110;0
2017;2º;Menos de quatro milhões de clientes;Banco/financeira;13009717;BANCO DO ESTADO DE SERGIPE S.A.;28,82;27;20;9;56;936662;834789;366114;626597
2017;2º;Menos de quatro milhões de clientes;Banco/financeira;4913711;BANCO DO ESTADO DO PARÁ S.A.; ;7;16;30;53;659192;645511;212568;578340
2017;2º;Mais de quatro milhões de clientes;Banco/financeira;7237373;BANCO DO NORDESTE DO BRASIL S.A.;0;0;12;31;43;6033876;5859577;1010408;4408404
2017;2º;Menos de quatro milhões de clientes;Banco/financeira;58616418;BANCO FIBRA S.A.; ;4;12;6;22;173999;4209;170223;1328
2017;2º;Menos de quatro milhões de clientes;Banco/financeira;62237425;BANCO FIDIS S/A; ;0;1;2;3;3787;365;3431; 
2017;2º;Menos de quatro milhões de clientes;Banco/financeira;90731688;BANCO FORD S.A.; ;0;0;1;1;347;83;268; 
2017;2º;Menos de quatro milhões de clientes;Banco/financeira;253448;BANCO NEON S.A.; ;4;3;14;21;80061;78804;1462;511
2017;2º;Menos de quatro milhões de clientes;Banco/financeira;40429946;BANCO PORTO REAL DE INVESTIMENTOS S.A; ;0;0;1;1;50;8;42;0
2017;2º;Menos de quatro milhões de clientes;Banco/financeira;1023570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; ;0;1;0;1;3954;3714;1681;0
2017;2º;Menos de quatro milhões de clientes;Banco/financeira;795423;BANCO SEMEAR S.A.; ;0;2;3;5;448857;3798;445277;1354
2017;2º;Menos de quatro milhões de clientes;Banco/financeira;7679404;BANCO TOPÁZIO S.A.; ;0;1;6;7;22514;4147;19441;636
2017;2º;Menos de quatro milhões de clientes;Banco/financeira;3215790;BANCO TOYOTA DO BRASIL S.A.; ;1;5;6;12;134647;15187;121388; 
2017;2º;Menos de quatro milhões de clientes;Banco/financeira;17351180;BANCO TRIANGULO S.A.; ;12;9;3;24;1328097;164794;1177029;14424
2017;2º;Menos de quatro milhões de clientes;Conglomerado; ;BANCOOB (conglomerado); ;4;21;32;57;1862163;1140380;836150;0
2017;2º;Menos de quatro milhões de clientes;Conglomerado; ;BANESTES (conglomerado);13,73;18;3;14;35;1310617;1186820;418833;860492
2017;2º;Menos de quatro milhões de clientes;Conglomerado; ;BANIF (conglomerado); ;0;0;5;5;1306;1305;13;1491
2017;2º;Mais de quatro milhões de clientes;Conglomerado; ;BANRISUL (conglomerado);15,86;71;277;156;504;4474462;3305143;2443070;2462909
2017;2º;Menos de quatro milhões de clientes;Conglomerado; ;BARIGUI (conglomerado); ;4;8;1;13;32008; ;32008; 
2017;2º;Mais de quatro milhões de clientes;Conglomerado; ;BB (conglomerado);21,71;1298;2740;4234;8272;59776953;55937964;23398979;48279386
2017;2º;Menos de quatro milhões de clientes;Conglomerado; ;BMG (conglomerado);47,75;167;430;460;1057;3496999;17082;3482429;5588
2017;2º;Menos de quatro milhões de clientes;Conglomerado; ;BMW (conglomerado); ;0;0;2;2;17244; ;17244; 
2017;2º;Menos de quatro milhões de clientes;Conglomerado; ;BNP PARIBAS (conglomerado);56,93;159;561;383;1103;2792641;15578;2777495;2350
2017;2º;Menos de quatro milhões de clientes;Conglomerado; ;BNY MELLON (conglomerado); ;0;1;0;1;1709;1709; ;0
2017;2º;Menos de quatro milhões de clientes;Conglomerado; ;BOFA MERRILL LYNCH (conglomerado); ;0;0;1;1;1396;1384;75;0
2017;2º;Mais de quatro milhões de clientes;Conglomerado; ;BRADESCO (conglomerado);24,45;2264;3478;4113;9855;92585594;77385228;45734862;34576814
2017;2º;Menos de quatro milhões de clientes;Conglomerado; ;BRB (conglomerado);60,09;50;125;139;314;832078;725215;369386;588333
2017;2º;Menos de quatro milhões de clientes;Conglomerado; ;BTG PACTUAL (conglomerado); ;0;0;2;2;85937;41076;45180;4846
2017;2º;Mais de quatro milhões de clientes;Conglomerado; ;CAIXA ECONÔMICA FEDERAL (conglomerado);29,11;2488;3095;6379;11962;85458741;82418020;18148616;73507354
2017;2º;Menos de quatro milhões de clientes;Banco/financeira;9313766;CARUANA S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;0;0;1;1;30175;23254;7380; 
2017;2º;Menos de quatro milhões de clientes;Conglomerado; ;CCB (conglomerado);51,26;17;231;210;458;331620;7832;324938;3666
2017;2º;Menos de quatro milhões de clientes;Conglomerado; ;CITIBANK (conglomerado);39,28;52;162;154;368;1323821;561384;933827;209719
2017;2º;Menos de quatro milhões de clientes;Conglomerado; ;CREDIT AGRICOLE (conglomerado); ;0;0;1;1;2519;2504;47;
2017;2º;Menos de quatro milhões de clientes;Conglomerado; ;CREDIT SUISSE (conglomerado); ;0;0;1;1;3607;3607;101;
2017;2º;Menos de quatro milhões de clientes;Conglomerado; ;CREFISA (conglomerado);10,55;16;81;35;132;1516424;12859;1503602;
2017;2º;Menos de quatro milhões de clientes;Conglomerado; ;DACASA FINANCEIRA (conglomerado); ;3;1;5;9;1200776; ;1200776; 
2017;2º;Menos de quatro milhões de clientes;Conglomerado; ;DAYCOVAL (conglomerado); ;13;448;154;615;927015;50858;882182;15087
2017;2º;Menos de quatro milhões de clientes;Conglomerado; ;DEUTSCHE (conglomerado); ;0;0;1;1;3673;3662;145;398
2017;2º;Menos de quatro milhões de clientes;Banco/financeira;15581638;FACTA FINANCEIRA S.A. - CRÉDITO FINANCIAMENTO E INVESTIMENTO; ;11;3;5;19;29502; ;29502; 
2017;2º;Menos de quatro milhões de clientes;Banco/financeira;411939;FINAMAX S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO; ;0;1;1;2;97983; ;97983; 
2017;2º;Menos de quatro milhões de clientes;Conglomerado; ;GMAC (conglomerado); ;5;18;47;70;477470;633;476924; 
2017;2º;Menos de quatro milhões de clientes;Conglomerado; ;GRUPO ZEMA (conglomerado); ;1;0;0;1;136244; ;136244; 
2017;2º;Menos de quatro milhões de clientes;Conglomerado; ;HERVAL - HS (conglomerado); ;1;0;0;1;240350; ;240350; 
